YEAR,PGN,INC,GR
2000.0,39.2,0.0,0.0
2001.0,46.0,6.8,17.35
2002.0,62.4,16.4,35.65
2003.0,79.7,17.3,27.72
2004.0,94.5,14.8,18.57
2005.0,117.2,22.7,24.02
2006.0,127.12,9.92,8.46
2007.0,128.2,1.08,0.85
2008.0,120.0,-8.2,-6.4
2009.0,124.6,4.6,3.83
2010.0,140.6,16.0,12.84
2011.0,151.1,10.5,7.47
2012.0,165.6,14.5,9.6
2013.0,176.0,10.4,6.28
2014.0,172.0,-4.0,-2.27
2015.0,154.9,-17.1,-9.94
2016.0,177.0,22.1,14.27
2017.0,201.0,24.0,13.56
2018.0,238.0,37.0,18.41
2019.0,290.0,52.0,21.85
2020.0,341.0,51.0,17.59
2021.0,377.0,36.0,10.56
2022.0,457.0,80.0,21.22
